Circuit: * C:\Users\bradb\Desktop\LTSPICE-PELMS\LT spice model hv9910c v3 - nabradb.asc

Limiting rise time of source v1 to 5e-010
Limiting fall time of source v1 to 5e-010
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000640851 to 0.000640851
Heightened Def Con from 0.000640851 to 0.000640851
Heightened Def Con from 0.000640851 ++++++++++++++++++++++++++to 0.000640854
Heightened Def Con from 0.000650851 ++++++++++++++++++++++++++to 0.000650854
Heightened Def Con from 0.000660852 to 0.000660852
Heightened Def Con from 0.000660852 ++++++++++++++++++++++++++to 0.000660855
Heightened Def Con from 0.000670851 ++++++++++++++++++++++++++to 0.000670854
Heightened Def Con from 0.000680852 to 0.000680852
Heightened Def Con from 0.000680852 ++++++++++++++++++++++++++to 0.000680855
Heightened Def Con from 0.000690851 to 0.000690851
Heightened Def Con from 0.000690851 ++++++++++++++++++++++++++to 0.000690854
Heightened Def Con from 0.000700851 to 0.000700851
Heightened Def Con from 0.000700851 ++++++++++++++++++++++++++to 0.000700854
Heightened Def Con from 0.000710851 to 0.000710851
Heightened Def Con from 0.000710851 ++++++++++++++++++++++++++to 0.000710854
Heightened Def Con from 0.000720851 ++++++++++++++++++++++++++to 0.000720854
Heightened Def Con from 0.000730851 ++++++++++++++++++++++++++to 0.000730854
Heightened Def Con from 0.000740851 to 0.000740851
Heightened Def Con from 0.000740851 ++++++++++++++++++++++++++to 0.000740854
Heightened Def Con from 0.000750851 to 0.000750851
Heightened Def Con from 0.000750851 ++++++++++++++++++++++++++to 0.000750854
Heightened Def Con from 0.000760851 ++++++++++++++++++++++++++to 0.000760854
Heightened Def Con from 0.000770852 to 0.000770852
Heightened Def Con from 0.000770852 ++++++++++++++++++++++++++to 0.000770855
Heightened Def Con from 0.000780851 ++++++++++++++++++++++++++to 0.000780854
Heightened Def Con from 0.000790851 to 0.000790851
Heightened Def Con from 0.000790851 to 0.000790851
Heightened Def Con from 0.000790851 ++++++++++++++++++++++++++to 0.000790854
Heightened Def Con from 0.000800851 ++++++++++++++++++++++++++to 0.000800854
Heightened Def Con from 0.000810851 ++++++++++++++++++++++++++to 0.000810854
Heightened Def Con from 0.000820851 ++++++++++++++++++++++++++to 0.000820854
Heightened Def Con from 0.000830851 ++++++++++++++++++++++++++to 0.000830854
Heightened Def Con from 0.000840851 to 0.000840851
Heightened Def Con from 0.000840851 to 0.000840851
Heightened Def Con from 0.000840851 ++++++++++++++++++++++++++to 0.000840854
Heightened Def Con from 0.000850851 ++++++++++++++++++++++++++to 0.000850854
Heightened Def Con from 0.000860851 ++++++++++++++++++++++++++to 0.000860854
Heightened Def Con from 0.000870851 ++++++++++++++++++++++++++to 0.000870854
Heightened Def Con from 0.000880851 ++++++++++++++++++++++++++to 0.000880854
Heightened Def Con from 0.000890851 to 0.000890851
Heightened Def Con from 0.000890851 ++++++++++++++++++++++++++to 0.000890854
Heightened Def Con from 0.000900851 +to 0.000900851
Heightened Def Con from 0.000900851 ++++++++++++++++++++++++++to 0.000900854
Heightened Def Con from 0.000910851 ++++++++++++++++++++++++++to 0.000910854
Heightened Def Con from 0.000920852 ++++++++++++++++++++++++++to 0.000920855
Heightened Def Con from 0.000930851 to 0.000930851
Heightened Def Con from 0.000930851 ++++++++++++++++++++++++++to 0.000930854
Heightened Def Con from 0.000940851 to 0.000940851
Heightened Def Con from 0.000940851 ++++++++++++++++++++++++++to 0.000940854
Heightened Def Con from 0.000950851 ++++++++++++++++++++++++++to 0.000950854
Heightened Def Con from 0.000960851 ++++++++++++++++++++++++++to 0.000960854
Heightened Def Con from 0.000970852 ++++++++++++++++++++++++++to 0.000970855
Heightened Def Con from 0.000980851 ++++++to 0.000980851
Heightened Def Con from 0.000980851 ++++++++++++++++++++++++++to 0.000980854
Heightened Def Con from 0.000990851 ++++++++++++++++++++++++++to 0.000990854

Date: Fri May 10 10:58:26 2024
Total elapsed time: 1.346 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 482154
traniter = 482131
tranpoints = 68223
accept = 31466
rejected = 39513
matrix size = 25
fillins = 8
solver = Normal
Matrix Compiler1: 1.35 KB object code size  0.2/0.2/[0.1]
Matrix Compiler2: 1.79 KB object code size  0.2/0.2/[0.2]

